股票代號,股票名稱,市場,籌碼診斷,T+1進場價,T+5結算價,T+5報酬率(%),T+10結算價,T+10報酬率(%)
4927,泰鼎-KY,TSE,【散戶套牢資 / 留意斷頭】,36.5,35.65,-2.33,26.9,-26.3
4949,有成精密,TSE,【散戶套牢資 / 留意斷頭】,69.1,71.0,2.75,55.0,-20.41
4976,佳凌,TSE,【散戶套牢資 / 留意斷頭】,33.05,32.15,-2.72,33.95,2.72
5285,界霖,TSE,【散戶套牢資 / 留意斷頭】,85.1,80.1,-5.88,64.8,-23.85
5434,崇越,TSE,【主力點火資】,562.0,559.0,-0.53,475.5,-15.39
5871,中租-KY,TSE,【主力點火資】,111.38,112.31,0.84,110.5,-0.79
6005,群益證,TSE,【散戶套牢資 / 留意斷頭】,33.0,34.45,4.39,32.75,-0.76
6116,彩晶,TSE,【散戶套牢資 / 留意斷頭】,15.0,14.35,-4.33,11.8,-21.33
6120,達運,TSE,【主力點火資】,13.2,13.25,0.38,12.4,-6.06
6139,亞翔,TSE,【散戶套牢資 / 留意斷頭】,799.0,858.0,7.38,643.0,-19.52
6153,嘉聯益,TSE,【散戶套牢資 / 留意斷頭】,16.95,16.85,-0.59,13.5,-20.35
6155,鈞寶,TSE,【散戶套牢資 / 留意斷頭】,60.2,58.1,-3.49,46.6,-22.59
6177,達麗,TSE,【主力點火資】,47.5,48.5,2.11,47.45,-0.11
6191,精成科,TSE,【散戶套牢資 / 留意斷頭】,89.2,89.8,0.67,77.4,-13.23
6197,佳必琪,TSE,【散戶套牢資 / 留意斷頭】,304.5,315.5,3.61,265.5,-12.81
6202,盛群,TSE,【散戶套牢資 / 留意斷頭】,57.7,56.2,-2.6,48.6,-15.77
6239,力成,TSE,【主力點火資】,282.44,288.32,2.08,214.5,-24.05
6243,迅杰,TSE,【主力點火資】,51.6,47.5,-7.95,46.1,-10.66
6257,矽格,TSE,【主力點火資】,214.5,226.0,5.36,173.5,-19.11
6269,台郡,TSE,【散戶套牢資 / 留意斷頭】,56.2,55.7,-0.89,46.0,-18.15
6282,康舒,TSE,【散戶套牢資 / 留意斷頭】,48.8,48.9,0.2,38.85,-20.39
6285,啟��,TSE,一般資增,234.5,258.5,10.23,204.0,-13.01
6412,群電,TSE,【散戶套牢資 / 留意斷頭】,78.9,82.4,4.44,75.4,-4.44
6414,樺漢,TSE,【主力點火資】,395.0,503.0,27.34,403.0,2.03
6446,藥華藥,TSE,一般資增,1195.0,1150.0,-3.77,1025.0,-14.23
6451,訊芯-KY,TSE,【散戶套牢資 / 留意斷頭】,429.29,445.28,3.73,322.0,-24.99
6456,GIS-KY,TSE,【散戶套牢資 / 留意斷頭】,64.8,67.4,4.01,51.2,-20.99
6505,台塑化,TSE,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,81.3,93.2,14.64,71.6,-11.93
6531,愛普*,TSE,【主力點火資】,819.0,904.0,10.38,607.0,-25.89
6533,晶心科,TSE,【主力點火資】,210.0,214.0,1.9,202.0,-3.81
6672,騰輝電子-KY,TSE,【散戶套牢資 / 留意斷頭】,241.0,231.0,-4.15,181.0,-24.9
6901,鑽石投資,TSE,一般資增,18.35,17.15,-6.54,15.75,-14.17
6962,奕力-KY,TSE,【散戶套牢資 / 留意斷頭】,31.37,31.86,1.54,29.0,-7.57
8016,矽創,TSE,【散戶套牢資 / 留意斷頭】,286.0,298.0,4.2,254.5,-11.01
8028,昇陽半導體,TSE,【主力點火資】,315.0,300.5,-4.6,227.5,-27.78
8046,南電,TSE,一般資增,1150.0,1230.0,6.96,837.0,-27.22
8070,長華*,TSE,【散戶套牢資 / 留意斷頭】,48.1,48.3,0.42,41.55,-13.62
8104,錸寶,TSE,【散戶套牢資 / 留意斷頭】,34.3,33.6,-2.04,28.1,-18.08
8112,至上,TSE,【散戶套牢資 / 留意斷頭】,81.9,88.0,7.45,75.6,-7.69
8261,富鼎,TSE,【散戶套牢資 / 留意斷頭】,251.0,235.0,-6.37,158.0,-37.05
9904,寶成,TSE,【主力點火資】,24.6,24.25,-1.42,24.0,-2.44
9914,美利達,TSE,【主力點火資】,84.0,78.1,-7.02,78.4,-6.67
9934,成霖,TSE,【主力點火資】,10.6,10.65,0.47,10.35,-2.36
1584,精剛,OTC,一般資增,19.25,19.5,1.3,16.85,-12.47
2061,風青,OTC,【散戶套牢資 / 留意斷頭】,56.7,52.7,-7.05,51.2,-9.7
3093,港建*,OTC,【散戶套牢資 / 留意斷頭】,47.3,49.3,4.23,40.1,-15.22
3163,波若威,OTC,【散戶套牢資 / 留意斷頭】,553.36,645.87,16.72,495.0,-10.55
3211,順達,OTC,一般資增,385.5,391.5,1.56,285.5,-25.94
3221,台嘉碩,OTC,【散戶套牢資 / 留意斷頭】,48.95,45.15,-7.76,40.2,-17.88
3236,千如,OTC,【散戶套牢資 / 留意斷頭】,48.35,44.75,-7.45,35.25,-27.09
3264,欣銓,OTC,【主力點火資】,214.0,218.0,1.87,161.0,-24.77
3290,東浦,OTC,【主力點火資】,62.6,61.3,-2.08,50.8,-18.85
3317,尼克森,OTC,【散戶套牢資 / 留意斷頭】,84.3,78.9,-6.41,59.3,-29.66
3339,泰谷,OTC,【主力點火資】,36.2,35.45,-2.07,30.7,-15.19
3362,先進光,OTC,【散戶套牢資 / 留意斷頭】,156.0,163.0,4.49,156.5,0.32
