股票代號,股票名稱,市場,收盤價,5日均線,20日均線,今日融資增減,今日融券增減,近3日融資增減,近3日融券增減,5日均量(張),籌碼診斷,is_squeeze,is_major_fire,is_retail_trap
8064,東捷,OTC,97.6,91.0,113.88,33,-5,"(-189, +119, +33)","(-69, +7, -5)",3659,【主力點火資】,False,True,True
3535,晶彩科,TSE,80.0,76.32,91.03,32,-18,"(-482, -71, +32)","(+47, -1, -18)",1499,【主力點火資】,False,True,True
6672,騰輝電子-KY,TSE,211.5,195.1,242.65,32,-6,"(-28, +133, +32)","(+10, -2, -6)",2610,【主力點火資】,False,True,True
8011,台通,TSE,16.75,16.05,16.67,32,-17,"(-130, -37, +32)","(+0, +0, -17)",929,【主力點火資】,False,True,False
3537,堡達,OTC,51.1,48.29,56.27,32,1,"(-130, +39, +32)","(+0, +0, +1)",765,【主力點火資】,False,True,True
5864,致和證,OTC,30.15,29.53,34.26,32,-18,"(-20, -1664, +32)","(+133, -63, -18)",3825,【主力點火資】,False,True,True
6442,光聖,TSE,1270.0,1163.0,1320.29,31,16,"(-237, +158, +31)","(-134, +8, +16)",1724,【主力點火資】,False,True,True
6215,和椿,TSE,91.6,86.38,99.44,30,16,"(-170, -4, +30)","(-3, +2, +16)",956,【主力點火資】,False,True,True
6691,洋基工程,TSE,662.0,638.6,698.6,30,0,"(-3, +26, +30)","(+0, +0, +0)",693,【主力點火資】,False,True,True
6753,龍德造船,TSE,129.5,129.2,142.72,30,1,"(-136, -83, +30)","(-6, -13, +1)",1804,【主力點火資】,False,True,True
5488,松普,OTC,12.7,12.59,14.7,30,0,"(-120, +127, +30)","(+2, -2, +0)",814,【主力點火資】,False,True,True
3704,合勤控,TSE,45.35,42.23,45.58,29,16,"(-7, +67, +29)","(+10, -1, +16)",2421,【主力點火資】,False,True,True
2617,台航,TSE,28.55,28.41,28.77,28,0,"(-21, -38, +28)","(+0, +0, +0)",623,【主力點火資】,False,True,True
3580,友威科,OTC,74.2,70.96,83.54,28,2,"(-38, +7, +28)","(-1, -1, +2)",510,【主力點火資】,False,True,True
2417,圓剛,TSE,40.0,38.6,41.53,27,0,"(-129, +2, +27)","(-2, -6, +0)",864,【主力點火資】,False,True,True
2484,希華,TSE,63.6,61.48,75.77,27,16,"(-830, +760, +27)","(-152, -60, +16)",18155,【主力點火資】,False,True,True
3661,世芯-KY,TSE,3250.0,3003.0,3560.0,27,14,"(-53, +226, +27)","(-2, +5, +14)",2508,【主力點火資】,False,True,True
6446,藥華藥,TSE,1165.0,1089.0,1198.7,26,11,"(-147, +106, +26)","(-9, +8, +11)",2688,【主力點火資】,False,True,True
6126,信音,OTC,30.65,29.62,31.79,26,4,"(-6, -12, +26)","(+2, +4, +4)",709,【主力點火資】,False,True,True
3013,晟銘電,TSE,80.0,76.74,89.83,25,-4,"(-172, -151, +25)","(-5, -3, -4)",1965,【主力點火資】,False,True,True
4755,三福化,TSE,113.5,108.3,123.1,25,-7,"(-17, +95, +25)","(+1, -1, -7)",544,【主力點火資】,False,True,True
3114,好德,OTC,30.45,29.61,34.39,25,0,"(-42, +9, +25)","(+0, +0, +0)",564,【主力點火資】,False,True,True
2347,聯強,TSE,91.7,88.58,86.56,24,-2,"(+1, +110, +24)","(+3, +3, -2)",4922,【主力點火資】,False,True,False
3162,精確,OTC,59.7,58.26,70.31,24,0,"(-8, +120, +24)","(+0, +4, +0)",863,【主力點火資】,False,True,True
3041,揚智,TSE,21.75,21.2,24.06,23,1,"(+45, +31, +23)","(-9, -17, +1)",1402,【主力點火資】,False,True,True
4540,全球傳動,TSE,49.0,45.83,52.7,22,3,"(-32, +19, +22)","(-2, +18, +3)",1447,【主力點火資】,False,True,True
5434,崇越,TSE,506.0,498.0,528.83,22,0,"(-8, +73, +22)","(+0, -2, +0)",1303,【主力點火資】,False,True,True
8071,能率網通,OTC,22.25,20.83,25.39,22,4,"(-111, +12, +22)","(+2, -1, +4)",1129,【主力點火資】,False,True,True
4526,東台,TSE,28.1,26.93,31.55,21,19,"(-218, -30, +21)","(+18, +12, +19)",1919,【主力點火資】,False,True,True
3491,昇達科,OTC,1065.0,1014.4,1183.17,20,18,"(-153, +123, +20)","(+83, -67, +18)",2464,【主力點火資】,False,True,True
