股票代號,股票名稱,市場,收盤價,5日均線,20日均線,今日融資增減,今日融券增減,近3日融資增減,近3日融券增減,5日均量(張),籌碼診斷,is_squeeze,is_major_fire,is_retail_trap
3264,欣銓,OTC,218.0,211.3,226.16,70,26,"(+227, -32, +70)","(+18, +25, +26)",5587,【主力點火資】,False,True,True
4977,眾達-KY,TSE,134.5,130.73,147.75,68,1,"(+81, +53, +68)","(+0, +8, +1)",1731,【主力點火資】,False,True,True
2009,第一銅,TSE,38.3,37.23,38.13,67,0,"(+57, -131, +67)","(-1, -1, +0)",1171,【主力點火資】,False,True,False
2345,智邦,TSE,2325.0,2202.0,2408.5,64,1,"(+7, -4, +64)","(+2, -1, +1)",2714,【主力點火資】,False,True,True
1904,正隆,TSE,21.7,21.58,22.23,63,-1,"(-112, +2, +63)","(-2, -3, -1)",1265,【主力點火資】,False,True,True
1708,東鹼,TSE,53.9,53.26,56.05,62,1,"(+222, +335, +62)","(+12, -1, +1)",4904,【主力點火資】,False,True,True
6005,群益證,TSE,34.45,33.6,35.94,58,0,"(+16, -44, +58)","(-1, +0, +0)",11400,【主力點火資】,False,True,True
9958,世紀鋼,TSE,110.0,109.36,111.77,58,2,"(-153, +4, +58)","(+0, +0, +2)",1803,【主力點火資】,False,True,True
2603,長榮,TSE,203.5,201.3,193.97,57,-11,"(-282, -248, +57)","(+29, +15, -11)",12314,【主力點火資】,False,True,False
2359,所羅門,TSE,142.0,139.0,138.19,56,9,"(-46, +67, +56)","(+7, -10, +9)",4856,【主力點火資】,False,True,False
1723,中碳,TSE,89.4,87.88,84.32,51,1,"(+25, -67, +51)","(+4, -5, +1)",1478,【主力點火資】,False,True,False
9921,巨大,TSE,85.5,85.04,79.4,51,-7,"(+15, -184, +51)","(-44, -4, -7)",4969,【主力點火資】,False,True,False
3455,由田,OTC,201.0,197.2,225.7,50,-2,"(+115, +82, +50)","(+1, -8, -2)",1475,【主力點火資】,False,True,True
6693,廣閎科,OTC,196.0,189.1,223.87,48,0,"(+62, +93, +48)","(+0, +0, +0)",1047,【主力點火資】,False,True,True
3035,智原,TSE,193.0,190.6,206.4,47,-38,"(-187, -2, +47)","(-3, +31, -38)",4949,【主力點火資】,False,True,True
2915,潤泰全,TSE,51.6,51.42,50.33,46,-1,"(-11, +20, +46)","(-6, +0, -1)",2518,【主力點火資】,False,True,False
6285,啟��,TSE,258.5,245.2,250.77,44,33,"(-231, -76, +44)","(+6, +50, +33)",7265,【主力點火資】,False,True,False
6190,萬泰科,OTC,72.4,70.26,77.39,43,43,"(+67, -103, +43)","(-3, +8, +43)",2058,【主力點火資】,False,True,True
6538,倉和,OTC,145.0,140.0,136.97,43,-2,"(+36, +2, +43)","(-17, -23, -2)",1788,【主力點火資】,False,True,False
2855,統一證,TSE,44.65,43.98,48.31,42,1,"(+112, +253, +42)","(+1, -3, +1)",5281,【主力點火資】,False,True,True
6944,兆聯實業,TSE,829.0,763.61,751.38,42,6,"(-7, +30, +42)","(+0, +0, +6)",1001,【主力點火資】,False,True,False
3008,大立光,TSE,4140.0,4002.0,4152.0,41,0,"(+53, +31, +41)","(+0, -3, +0)",1718,【主力點火資】,False,True,True
3680,家登,OTC,480.5,471.5,504.88,41,-15,"(-80, -280, +41)","(+42, -2, -15)",2374,【主力點火資】,False,True,True
