股票代號,股票名稱,市場,籌碼診斷,T+1進場價,T+5結算價,T+5報酬率(%),T+10結算價,T+10報酬率(%)
1907,永豐餘,TSE,【主力點火資】,27.33,27.05,-1.02,27.75,1.54
2006,東和鋼鐵,TSE,【主力點火資】,68.9,70.2,1.89,70.0,1.6
2022,聚亨,TSE,【主力點火資】,8.02,7.95,-0.87,7.63,-4.86
2030,彰源,TSE,【主力點火資】,19.1,17.4,-8.9,17.15,-10.21
2034,允強,TSE,【主力點火資】,19.65,19.37,-1.45,19.35,-1.55
2103,台橡,TSE,【主力點火資】,24.65,23.3,-5.48,23.05,-6.49
2231,為升,TSE,【主力點火資】,116.0,114.0,-1.72,107.0,-7.76
2302,麗正,TSE,【主力點火資】,48.9,43.55,-10.94,39.15,-19.94
2305,全友,TSE,【主力點火資】,38.4,39.6,3.12,32.35,-15.76
2308,台達電,TSE,【散戶套牢資 / 留意斷頭】,1890.0,1890.0,0.0,1705.0,-9.79
2313,華通,TSE,【主力點火資】,218.0,235.0,7.8,199.0,-8.72
2329,華泰,TSE,【主力點火資】,51.7,50.6,-2.13,43.8,-15.28
2331,精英,TSE,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,20.55,20.9,1.7,19.2,-6.57
2340,台亞,TSE,【主力點火資】,36.9,37.25,0.95,31.25,-15.31
2344,華邦電,TSE,【散戶套牢資 / 留意斷頭】,174.0,167.0,-4.02,151.0,-13.22
2345,智邦,TSE,一般資增,2455.0,2405.0,-2.04,2090.0,-14.87
2352,佳世達,TSE,【主力點火資】,34.45,31.0,-10.01,29.85,-13.35
2354,鴻準,TSE,【主力點火資】,56.9,56.6,-0.53,54.0,-5.1
2355,敬鵬,TSE,【主力點火資】,49.7,47.9,-3.63,41.55,-16.4
2356,英業達,TSE,【主力點火資】,63.35,62.67,-1.07,57.2,-9.7
2359,所羅門,TSE,【主力點火資】,133.53,148.0,10.83,134.5,0.72
2365,昆盈,TSE,一般資增,32.0,32.2,0.62,29.3,-8.45
2367,燿華,TSE,【散戶套牢資 / 留意斷頭】,51.0,50.5,-0.98,43.25,-15.2
2368,金像電,TSE,【散戶套牢資 / 留意斷頭】,1135.0,1045.0,-7.93,927.0,-18.33
2369,菱生,TSE,【主力點火資】,41.55,41.15,-0.96,33.75,-18.77
2375,凱美,TSE,一般資增,197.0,185.0,-6.09,135.5,-31.22
2376,技嘉,TSE,【散戶套牢資 / 留意斷頭】,327.0,335.5,2.6,331.0,1.22
2382,廣達,TSE,【主力點火資】,357.73,362.52,1.34,316.0,-11.66
2383,台光電,TSE,一般資增,5220.0,5125.0,-1.82,4395.0,-15.8
2385,群光,TSE,【主力點火資】,107.0,106.0,-0.93,102.5,-4.21
2388,威盛,TSE,【散戶套牢資 / 留意斷頭】,69.5,70.1,0.86,72.4,4.17
2393,億光,TSE,【主力點火資】,69.6,69.1,-0.72,66.8,-4.02
2399,映泰,TSE,【主力點火資】,49.5,44.0,-11.11,36.7,-25.86
2402,毅嘉,TSE,【主力點火資】,65.9,62.2,-5.61,56.4,-14.42
2421,建準,TSE,【主力點火資】,144.0,138.0,-4.17,125.5,-12.85
2426,鼎元,TSE,【主力點火資】,72.7,67.1,-7.7,53.5,-26.41
2436,偉詮電,TSE,【主力點火資】,70.3,65.0,-7.54,56.6,-19.49
2441,超豐,TSE,【主力點火資】,133.5,137.5,3.0,119.0,-10.86
2442,新美齊,TSE,【主力點火資】,19.35,19.25,-0.52,19.2,-0.78
2455,全新,TSE,【散戶套牢資 / 留意斷頭】,318.5,329.0,3.3,277.0,-13.03
